| airbnb | `fuchsia` | Fuchsia | Light Professional | `#E30344` | `#FF385C` (primary) | Light |
| airtable | `fern` | Fern | Nature/Earth | `#008500` | `#39BF45` (success-border) | Light |
| apple | `cobalt` | Cobalt | Light Professional | `#0066CC` | `#0066CC` (primary) | Light |
| binance | `gilded` | Gilded | Dark Vibrant/Expressive | `#C19A00` | `#FCD535` (primary) | Dark |
| bmw | `skyline` | Skyline | Light Professional | `#6856D0` | `#1C69D4` (primary) | Light |
| bmw-m | `blaze` | Blaze | Dark Vibrant/Expressive | `#E93121` | `#E22718` (m-red) | Dark |
| bugatti | `rust` | Rust | Dark Vibrant/Expressive | `#C99500` | `#D4A017` (warning) | Dark |
| cal | `lilac` | Lilac | Light Professional | `#8555EF` | `#8B5CF6` (badge-violet) | Light |
| claude | `scarlet` | Scarlet | Light Professional | `#A95A3E` | `#CC785C` (primary) | Light |
| clay | `peony` | Peony | Light Professional | `#DC236D` | `#FF4D8B` (brand-pink) | Light |
| clickhouse | `brass` | Brass | Dark Vibrant/Expressive | `#A4A700` | `#FAFF69` (primary) | Dark |
| cohere | `azure` | Azure | Light Professional | `#943BBA` | `#1863DC` (action-blue) | Light |
| coinbase | `denim` | Denim | Light Professional | `#0052FF` | `#0052FF` (primary) | Light |
| composio | `midnight` | Midnight | Dark Vibrant/Expressive | `#3473FF` | `#0007CD` (primary) | Dark |
| cursor | `ember` | Ember | Light Professional | `#D92F00` | `#F54E00` (primary) | Light |
| dell-1996 | `poppy` | Poppy | Light Professional | `#E20C23` | `#E91D2A` (primary) | Light |
| elevenlabs | `brick` | Brick | Light Professional | `#D24200` | `#DC2626` (semantic-error) | Light |
| expo | `cove` | Cove | Light Professional | `#B037C3` | `#476CFF` (text-link-secondary) | Light |
| ferrari | `cinder` | Cinder | Dark Vibrant/Expressive | `#DD5300` | `#DA291C` (primary) | Dark |
| figma | `blossom` | Blossom | Warm/Organic Light | `#B15C00` | `#FF3D8B` (accent-magenta) | Light |
| framer | `amethyst` | Amethyst | Dark Vibrant/Expressive | `#D44DF0` | `#D44DF0` (gradient-magenta) | Dark |
| hashicorp | `velvet` | Velvet | Dark Vibrant/Expressive | `#AD40FF` | `#A737FF` (semantic-visited) | Dark |
| hp | `garnet` | Garnet | Light Professional | `#A8007C` | `#024AD8` (primary) | Light |
| ibm | `crimson` | Crimson | Light Professional | `#C90098` | `#0F62FE` (primary) | Light |
| intercom | `magma` | Magma | Light Professional | `#0007CB` | `#0007CB` (brand-blue) | Light |
| kraken | `wisteria` | Wisteria | Light Professional | `#A200CE` | `#7132F5` (kraken purple) | Light |
| lamborghini | `amber` | Amber | Warm/Organic Light | `#A36800` | `#FFC000` (lamborghini gold) | Light |
| lovable | `carmine` | Carmine | Light Professional | `#B93D97` | `#3B82F6` (ring blue) | Light |
| mastercard | `vermillion` | Vermillion | Warm/Organic Light | `#7E7000` | `#EB001B` (mastercard red) | Light |
| meta | `apricot` | Apricot | Warm/Organic Light | `#BB3F00` | `#0064E0` (primary) | Light |
| minimax | `saffron` | Saffron | Light Professional | `#CE0046` | `#1456F0` (brand-blue) | Light |
| mintlify | `clementine` | Clementine | Warm/Organic Light | `#737B00` | `#F55A3C` (testimonial-orange) | Light |
| miro | `copper` | Copper | Light Professional | `#D10B8B` | `#4262FF` (brand-blue) | Light |
| mistral.ai | `ochre` | Ochre | Nature/Earth | `#008246` | `#FA520F` (primary) | Light |
| mongodb | `sage` | Sage | Light Professional | `#007D84` | `#00ED64` (primary) | Light |
| nike | `bronze` | Bronze | Light Professional | `#D90000` | `#1151FF` (info) | Light |
| nintendo-2001 | `tawny` | Tawny | Nature/Earth | `#008400` | `#E60012` (primary) | Light |
| nvidia | `mint` | Mint | Nature/Earth | `#3C7F00` | `#76B900` (primary) | Light |
| ollama | `citrine` | Citrine | Warm/Organic Light | `#A65E00` | `#0066FF` (fallback) | Light |
| opencode.ai | `daffodil` | Daffodil | Light Professional | `#412521` | `#0F0000` (ink-deep) | Light |
| pinterest | `honeycomb` | Honeycomb | Nature/Earth | `#008327` | `#E60023` (primary) | Light |
| playstation | `marigold` | Marigold | Light Professional | `#8C4EBD` | `#0070D1` (primary) | Light |
| posthog | `clover` | Clover | Warm/Organic Light | `#AA6100` | `#F7A501` (primary) | Light |
| raycast | `navy` | Navy | Dark Vibrant/Expressive | `#8163FF` | `#0066FF` (fallback) | Dark |
| renault | `meadow` | Meadow | Dark Vibrant/Expressive | `#B4A100` | `#FFED00` (primary) | Dark |
| replicate | `jade` | Jade | Light Professional | `#007ABA` | `#EA2804` (primary) | Light |
| resend | `moss` | Moss | Nature/Earth | `#008300` | `#0066FF` (fallback) | Light |
| revolut | `pine` | Pine | Light Professional | `#494FDF` | `#494FDF` (primary) | Light |
| runwayml | `juniper` | Juniper | Light Professional | `#00808F` | `#0066FF` (fallback) | Light |
| sanity | `verdant` | Verdant | Light Professional | `#A33899` | `#19D600` (neon green) | Light |
| sentry | `orchid` | Orchid | Cool/Tech Minimal | `#302A40` | `#150F23` (primary) | Light |
| shopify | `spruce` | Spruce | Nature/Earth | `#467D59` | `#C1FBD4` (aloe-10) | Light |
| slack | `seafoam` | Seafoam | Light Professional | `#4A154B` | `#4A154B` (primary) | Light |
| spacex | `glacier` | Glacier | Light Professional | `#6100E0` | `#0000EE` (link-blue-fallback) | Light |
| spotify | `lagoon` | Lagoon | Warm/Organic Light | `#7F7300` | `#1ED760` (spotify green) | Light |
| starbucks | `teal` | Teal | Light Professional | `#006FD9` | `#C82014` (red) | Light |
| supabase | `abyssal` | Abyssal | Nature/Earth | `#008545` | `#3ECF8E` (primary) | Light |
| superhuman | `deepsea` | Deepsea | Light Professional | `#2A294A` | `#1B1938` (primary) | Light |
| tesla | `tidal` | Tidal | Light Professional | `#3E6AE1` | `#3E6AE1` (electric blue) | Light |
| theverge | `lavenderfield` | Lavenderfield | Light Professional | `#5200FF` | `#5200FF` (verge ultraviolet) | Light |
| together.ai | `indigo` | Indigo | Warm/Organic Light | `#707B00` | `#EF2CC1` (accent-magenta) | Light |
| uber | `cosmos` | Cosmos | Light Professional | `#8B00B3` | `#0000EE` (link) | Light |
| vodafone | `voyager` | Voyager | Light Professional | `#00827F` | `#E60000` (primary) | Light |
| voltagent | `twilight` | Twilight | Dark Vibrant/Expressive | `#00BE79` | `#00D992` (primary) | Dark |
| warp | `eclipse` | Eclipse | Dark Moody/Professional | `#B24CDF` | `#0066FF` (fallback) | Dark |
| webflow | `mulberry` | Mulberry | Light Professional | `#D33100` | `#7A3DFF` (accent-purple) | Light |
| wired | `plum` | Plum | Light Professional | `#0077B5` | `#057DBC` (link) | Light |
| wise | `chalk` | Chalk | Light Professional | `#007F79` | `#9FE870` (primary) | Light |
| x.ai | `pebble` | Pebble | Dark Vibrant/Expressive | `#9457FF` | `#7C3AED` (accent-dusk) | Dark |
| zapier | `fog` | Fog | Light Professional | `#D21F7D` | `#FF4F00` (primary) | Light |
